ID,MEDV
0,20.80384
1,25.57682
2,15.44747
3,16.54368
4,22.85997
5,21.06799
6,17.84076
7,19.34737
8,34.35813
9,19.58095
10,25.19848
11,19.65159
12,19.03159
13,16.21621
14,17.67877
15,25.08050
16,16.28258
17,26.04556
18,19.59972
19,22.01758
20,25.47742
21,40.56644
22,24.05136
23,11.56103
24,13.75803
25,18.65324
26,15.60738
27,19.68805
28,22.63867
29,12.30339
30,37.83417
31,18.35229
32,17.31575
33,17.02312
34,22.84120
35,20.02144
36,29.93828
37,31.97038
38,41.01972
39,28.50720
40,17.96456
41,34.81759
42,23.64036
43,15.14436
44,20.23154
45,24.73042
46,18.81811
47,22.38434
48,15.09292
49,13.88130
50,18.26252
51,33.39441
52,22.72916
53,6.03495
54,13.69333
55,14.07845
56,19.21820
57,12.23834
58,10.51489
59,17.34715
60,18.17037
61,21.07174
62,35.17026
63,21.96243
64,40.21987
65,31.72958
66,13.52041
67,22.26107
68,23.83636
69,14.20642
70,17.83090
71,18.82560
72,26.83960
73,14.68543
74,19.26489
75,16.83966
76,16.79068
77,30.36237
78,17.07101
79,32.67488
80,33.36762
81,43.20049
82,28.31307
83,29.30763
84,16.79030
85,34.53938
86,14.01434
87,29.73382
88,15.08812
89,18.66889
90,13.74230
91,18.89337
92,14.24060
93,20.84370
94,19.26161
95,23.79002
96,36.77932
97,11.10162
98,14.14191
99,27.95994
100,24.65332
101,15.77539
102,27.61072
103,33.51614
104,25.73099
